Asset ID,Road ID,Road Name,Road Authority,Rural/Urban,Road Classification,Road Priority,status,start,end,Locality,length_m,width_m,Area (m2),Condition Ratings,Year of Construction,Comment,OBJECTID (GIS),Road Number (GIS),Asset ID  (GIS),gis_status
461,9946,Rosedale Drive 02,BSC,Urban,Local,86,Sealed,570,1053.572452,Urunga,483.5724523,10.8,5222.582485,2,2009,,224,9946,100300,Mutiple Chainage
19,9947,Roses Road 01,BSC,Rural,Local,54,Sealed,0,720,Bellingen,720,5,3600,1,1968,,225,9947,100301,Mutiple Chainage
19,9947,Roses Road 02,BSC,Rural,Local,54,Sealed,720,1230,Bellingen,510,5,2550,1,1968,,225,9947,100301,Mutiple Chainage
19,9947,Roses Road 03,BSC,Rural,Local,54,Sealed,1230,1830,Bellingen,600,5,3000,1,1968,,225,9947,100301,Mutiple Chainage
19,9947,Roses Road 04,BSC,Rural,Local,54,Sealed,1830,2060,Bellingen,230,5,1150,1,1968,,225,9947,100301,Mutiple Chainage
19,9947,Roses Road 05,BSC,Rural,Local,54,Sealed,2060,2600,Bellingen,540,5,2700,3,2012,,225,9947,100301,Mutiple Chainage
19,9947,Roses Road 06,BSC,Rural,Local,54,Unsealed,2600,3120,Bellingen,520,5,2600,1,2012,,225,9947,100301,Mutiple Chainage
19,9947,Roses Road 07,BSC,Rural,Local,54,Sealed,3120,4010,Bellingen,890,5,4450,2,2008,,225,9947,100301,Mutiple Chainage
19,9947,Roses Road 08,BSC,Rural,Local,54,Sealed,4010,4920,Bellingen,910,5,4550,1,2008,,225,9947,100301,Mutiple Chainage
19,9947,Roses Road 09,BSC,Rural,Local,54,Sealed,4920,5660,Bellingen,740,5,3700,1,1968,,225,9947,100301,Mutiple Chainage
19,9947,Roses Road 10,BSC,Rural,Local,54,Unsealed,5660,6705.481959,Bellingen,1045.481959,5,5227.409796,2,2008,,225,9947,100301,Mutiple Chainage
497,9949,Rowley Street,BSC,Urban,Local,101,Sealed,0,258.8137769,Mylestom,258.8137769,7.8,2018.74746,3,2009,,226,9949,100302,Mutiple Chainage
498,9949,Rowley Street - 01,BSC,Urban,Local,103,Sealed,0,87.6820794,Mylestom,87.6820794,7.8,683.9202194,3,2009,,226,9949,100302,Mutiple Chainage
32,9951,Schnapper Beach Road 01,BSC,Rural,Local,106,Unsealed,0,370,Urunga,370,3.5,1295,2,2008,,480,9951,100305,Mutiple Chainage
32,9951,Schnapper Beach Road 02,BSC,Rural,Local,106,Sealed,370,1188.544361,Urunga,818.5443611,5,4092.721806,3,1968,,480,9951,100305,Mutiple Chainage
153,9952,Scotchman Road 01,BSC,Rural,Local,102,Sealed,0,20,Bellingen,20,8,160,1,2009,,229,9952,100306,Mutiple Chainage
153,9952,Scotchman Road 02,BSC,Rural,Local,102,Sealed,20,790,Bellingen,770,8,6160,3,2009,,229,9952,100306,Mutiple Chainage
153,9952,Scotchman Road 03,BSC,Rural,Local,102,Sealed,790,1477.965284,Bellingen,687.9652842,8,5503.722274,2,2009,,229,9952,100306,Mutiple Chainage
425,9953,Shepherds Road 01,BSC,Rural,Local,46,Sealed,0,1000,Bielsdown Hills,1000,3,3000,1,1968,,481,9953,100307,Mutiple Chainage
425,9953,Shepherds Road 02,BSC,Rural,Local,46,Sealed,1000,1140,Bielsdown Hills,140,3,420,1,1968,,481,9953,100307,Mutiple Chainage
425,9953,Shepherds Road 03,BSC,Rural,Local,46,Sealed,1140,1350,Bielsdown Hills,210,3,630,1,1968,,481,9953,100307,Mutiple Chainage
425,9953,Shepherds Road 04,BSC,Rural,Local,46,Sealed,1350,1670,Bielsdown Hills,320,3,960,1,1968,,481,9953,100307,Mutiple Chainage
425,9953,Shepherds Road 05,BSC,Rural,Local,46,Sealed,1670,2670,Bielsdown Hills,1000,3,3000,1,1968,,481,9953,100307,Mutiple Chainage
425,9953,Shepherds Road 06,BSC,Rural,Local,46,Sealed,2670,3200,Bielsdown Hills,530,3,1590,1,1968,,481,9953,100307,Mutiple Chainage
425,9953,Shepherds Road 07,BSC,Rural,Local,46,Unsealed,3200,6130.515803,Bielsdown Hills,2930.515803,3,8791.54741,2,1987,,481,9953,100307,Mutiple Chainage
18,9955,Short Cut Road 01,BSC,Rural,Local,24,Sealed,0,330,Urunga,330,6,1980,2,2019,,230,9955,100308,Mutiple Chainage
18,9955,Short Cut Road 02,BSC,Rural,Local,24,Sealed,330,530,Urunga,200,6,1200,1,2019,,230,9955,100308,Mutiple Chainage
18,9955,Short Cut Road 03,BSC,Rural,Local,24,Sealed,530,640,Urunga,110,6,660,3,2019,,230,9955,100308,Mutiple Chainage
18,9955,Short Cut Road 04,BSC,Rural,Local,24,Sealed,640,1210,Urunga,570,6,3420,1,2019,,230,9955,100308,Mutiple Chainage
18,9955,Short Cut Road 05,BSC,Rural,Local,24,Sealed,1210,1800,Urunga,590,6,3540,2,2019,,230,9955,100308,Mutiple Chainage
